1000001, ג'רמי, לואיס, ניהול מוצר, זכר
1000002, ארל, רייס, שיווק, זכר
1000003, ג'ודית, צ'אבס, חשבונאות, נקבה
1000004, אלן, גרדנר, הנדסה, זכר
1000005, פאולה, מאייר, שיווק, נקבה
1000006, ג'נט, מקוי, שירותים, נקבה
1000007, קרל, בויד, מחקר ופיתוח, זכר
1000008, ברברה, לואיס, שיווק, נקבה
1000009, אנה, קרופורד, הנדסה, נקבה
1000010, קתרין, סאליבן, משאבי אנוש, נקבה
1000011, קתרין, אוסטין, שיווק, נקבה
1000012, וירג'יניה, מאיירס, ניהול מוצר, נקבה
1000013, דניאל, פוקס, מכירות, זכר
1000014, בנימין, לבן, מחקר ופיתוח, זכר
1000015, אמילי, גילברט, הנדסה, נקבה
1000016, הרולד, דיקן, הדרכה, זכר
1000017, אנדריאה, וושינגטון, מכירות, נקבה
1000018, אנה, וילסון, הדרכה, נקבה
1000019, מרי, ארמסטרונג, הדרכה, נקבה
1000020, ג'סי, סימפסון, פיתוח עסקי, זכר
1000021, ננסי, רוס, הדרכה, נקבה
1000022, הארי, רוז, חשבונאות, זכר
1000023, קרייג, ניקולס, תמיכה, זכר
1000024, פיליס, קרוז, שיווק, נקבה
1000025, קתרין, קוקס, שיווק, נקבה
1000026, פרד, ג'ונס, ניהול מוצר, זכר
1000027, דורותי, לבן, משפטי, נקבה
1000028, ז'קלין, הדסון, פיתוח עסקי, נקבה
1000029, ראלף, לינץ ', הנדסה, זכר
1000030, דיאנה, ג'ורג ', מכירות, נקבה
1000031, מיכאל, ווב, מכירות, זכר
1000032, רחל, סטנלי, ניהול מוצר, נקבה
1000033, מליסה, וורן, הדרכה, נקבה
1000034, אנג'לה, מקדונלד, משאבי אנוש, נקבה
1000035, ג'ודי, גרהם, פיתוח עסקי, נקבה
1000036, פטריק, קרול, פיתוח עסקי, זכר
1000037, ויליאם, ריברה, תמיכה, זכר
1000038, כריס, שדות, הדרכה, זכר
1000039, בטי, צ'אבס, מכירות, נקבה
